id,State,url
0,Buenos Aires,https://codigo-postal.co/argentina/buenos-aires/
1,Buenos Aires (CABA),https://codigo-postal.co/argentina/capital-federal/
2,Catamarca,https://codigo-postal.co/argentina/catamarca/
3,Chaco,https://codigo-postal.co/argentina/chaco/
4,Chubut,https://codigo-postal.co/argentina/chubut/
5,Córdoba,https://codigo-postal.co/argentina/cordoba/
6,Corrientes,https://codigo-postal.co/argentina/corrientes/
7,Entre Ríos,https://codigo-postal.co/argentina/entre-rios/
8,Formosa,https://codigo-postal.co/argentina/formosa/
9,Jujuy,https://codigo-postal.co/argentina/jujuy/
10,La Pampa,https://codigo-postal.co/argentina/la-pampa/
11,La Rioja,https://codigo-postal.co/argentina/la-rioja/
12,Mendoza,https://codigo-postal.co/argentina/mendoza/
13,Misiones,https://codigo-postal.co/argentina/misiones/
14,Neuquén,https://codigo-postal.co/argentina/neuquen/
15,Río Negro,https://codigo-postal.co/argentina/rio-negro/
16,Salta,https://codigo-postal.co/argentina/salta/
17,San Juan,https://codigo-postal.co/argentina/san-juan/
18,San Luis,https://codigo-postal.co/argentina/san-luis/
19,Santa Cruz,https://codigo-postal.co/argentina/santa-cruz/
20,Santa Fé,https://codigo-postal.co/argentina/santa-fe/
21,Santiago del Estero,https://codigo-postal.co/argentina/santiago-del-estero/
22,Tierra del Fuego,https://codigo-postal.co/argentina/tierra-del-fuego/
23,Tucumán,https://codigo-postal.co/argentina/tucuman/
